ID,sentence,label,language
149,"'এটি মানের দিক থেকে খুবই বাজে: ধাতুতে কয়েক দিনের মধ্যে মরিচা পড়তে শুরু করে এবং চেয়ারটি এক বা দুই দিন পরে অত্যন্ত চিকচিক করে। প্রোডাক্টটি মোটেই টেকসই নয়, আমি ভয় পাচ্ছি যে এটি ব্যবহারের কয়েক মাসের মধ্যে ভেঙে যাবে। ''",Negative,bn
150,"ସାମ୍ପ୍ରତିକ ସପ୍ତାହଗୁଡିକରେ, ସୋନିଲିଭ୍ କିଛି ବାସ୍ତବରେ ଲୋକପ୍ରିୟ ସିରିଜ୍ ଏବଂ ଲଗାତାର ଦେଖିବା ପାଇଁ କିଛି ଭଲ ବିଷୟବସ୍ତୁ ତାଲିକାଭୁକ୍ତ କରୁଛି |",Positive,or
151,ఆకట్టుకునే హైడ్రా-న్యూట్రీ బ్యాలెన్స్‌తో సమృద్ధమైనది మరియు మీ చర్మానికి ప్రకాశవంతమైన ప్రభావాన్ని ఇస్తుంది,Positive,te
152,"বইটির সেরা বিষয়টি হল এটি লাইট, মজার, সহজ ভাষার হওয়ার কারণে এটি বাচ্চাদের বোঝর জন্য সহজ এবং দুর্দান্ত",Positive,bn
153,બિલકુલ નકામી એપ! હું તેનો ઉપયોગ ફક્ત પહેલાથી જ અપલોડ કરેલી વિડિઓઝમાં શીર્ષક ઉમેરવા માટે કરી શકું છું જેને હું ફક્ત મુખ્ય એપ્લિકેશન દ્વારા જ અપલોડ કરી શકું છું!,Negative,gu
154,"તે સુપર સોફ્ટ જર્સી કોટન ફેબ્રિકથી બનાવવામાં આવે છે, આ સ્ટ્રેચેબલ ટી-શર્ટ્સ આખા વર્ષ માટે ઉત્તમ છે. ગરમ કાપડના કારણે ત્વચા પર થતા ફોલ્લીઓ અને ખોડો ટાળવા માટે શિયાળામાં ફ્લીસ કોટ્સ હેઠળ પહેરવા માટે સરસ છે. ઉનાળામાં એસીની ઠંડી સામે રક્ષણ આપે છે. ખાસ કરીને ડિઝાઇન કરેલ આર્મહોલ્સ મેટિંગનું કારણ બનતા નથી.",Positive,gu
155,اس سے پیٹ میں ناگوار انفیکشن اور فوڈ پوائزننگ ہوتی ہے۔ ہر طرح کی کتوں کی نسلوں کے لئے موزوں نہیں ہے۔,Negative,ur
156,"প্রাথমিকভাবে একটি বিবাহের স্থান, এই জায়গাটিতে সুস্বাদু খাবারের সাথে সাথে একটি দুর্দান্ত খাওয়ার ব্যবস্থা রয়েছে যা তারা ভাল আচরণ করা স্টাফ সদস্যদের এবং রিসর্টের ব্যবস্থাপকের সাথে মিলিত হয়ে পরিবেশন করে। আপনার সমস্ত অতিথি এবং পরিবারের সদস্যদের থাকার জন্য ভোজনালয় / ডাইনিং হল যথেষ্ট প্রশস্ত; ওয়াইফাইও ভাল এবং ভালো স্পিড দেয় পার্কিং স্থান পর্যাপ্ত।",Positive,bn
157,"പാക്കേജിനൊപ്പം നൽകിയിരിക്കുന്ന ബാറ്ററികൾ ഗുണനിലവാരമില്ലാത്തവയാണ്. ഇത് അധികനാൾ നീണ്ടുനിന്നില്ല, വളരെ വേഗം മാറ്റിസ്ഥാപിക്കേണ്ടിവന്നു.",Negative,ml
158,"""हेडरेस्टमध्ये लॉकिंग यंत्रणा आहे जी फक्त पूर्ण रिक्लाईन केलेल्या किंवा सरळ स्थितीत वापरली जाऊ शकते, त्यामुळे एखाद्याला हवे तेवढे रिक्लाईन कधीही मिळू शकत नाही. याशिवाय, आर्मरेस्ट बाजूला किंवा आडवे ॲडजेस्ट केले जाऊ शकत नाहीत, म्हणून ते सतत तुमच्या शरीरापासून दूर गेल्यासारखे वाटल्यामुळे खूप गैरसोयीचे वाटतात.""",Negative,mr
159,पॅकेजबरोबर दिलेल्या बॅटरीजचा दर्जा खराब आहे. त्या जास्त काळ चालल्या नाहीत आणि लगेच बदलाव्या लागल्या.,Negative,mr
160,"ഉഷയുടെ വിൻഡോ എയർ കൂളറിന്റെ ടാങ്ക് ശേഷി വളരെ കുറവാണ്. വിൻഡോ കൂളർ ആയതിനാൽ പലപ്പോഴും നിറയ്ക്കാൻ പറ്റില്ല, വെള്ളം നിറക്കുമ്പോൾ ഇത് താഴെ ഇറക്കണം.",Negative,ml
161,"""বাটারফ্লাই"" পার্কে কোনো প্রজাপতির চিহ্নই নেই, ঘেরটি ভাঙা বা এর কোনো অস্তিত্ব নেই বলা যেতে পারে এবং এখন এটিকে শুধুমাত্র একটি নোংরা বাগান বলা যেতে পারে।",Negative,bn
162,"ప్రతి కథకు ఒక లవ్ యాంగిల్ ఉండాలనే నియమం ఉందా. సమంత, నిత్య పాత్రలు అనవసరం.",Negative,te
163,"या स्प्लिट एसीमध्ये आता एअर प्युरिफायर्स आहेत, पण हे एअर प्युरिफायर्स कार्बन डायऑक्साइड रोखत नसल्यामुळे अधूनमधून खिडक्या उघडणे खूपच महत्त्वाचे आहे. दारे आणि खिडक्या उघड्या ठेवल्याने एअर प्युरिफायरचा प्रभाव कमी होईल.",Negative,mr
164,"કોલર ગુણવત્તા, મજબૂતાઈ અને ટકાઉપણામાં ઘણો પાછળ છે. તેમાં બકલ અને રિંગની વચ્ચે કોઈ હોલ્ડર હોતો નથી.",Negative,gu
165,এতে চুল ঠিকমতো কাটা যায় না।,Negative,bn
166,এটি নতুনদের এবং মধ্যবর্তী স্তরের জন্য ভালো এবং সস্তাও,Positive,bn
167,ವೃತ್ತಿಪರರಿಗೆ ಸೂಕ್ತವಲ್ಲ ಆದರೆ ಎಲ್ಇಡಿ ದೀಪಗಳು ಹೆಚ್ಚು ತೀವ್ರತೆಯನ್ನು ಹೊಂದಿಲ್ಲ ಮತ್ತು ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ದೀಪಗಳನ್ನು ಬಳಸಲು ಬಯಸುತ್ತವೆ.,Negative,kn
168,மிகவும் கூட்டம் நிறைந்த இடம்!,Negative,ta
169,"'রায়া এবং লাস্ট ড্রাগন দেখার পরে, এই মুভিটি আমার অসাধারণ লেগেছে!! ড্রাগনদের চরিত্রের বিকাশ অসামান্য, একটাই শব্দ বলবো বাহ! """,Positive,bn
170,"बायथार!! आं नुनो मोननाय उनसोलों गोनां बिजाबफोरनि गेजेराव साबसिनथार। बेयो रंगिना-संगिना, गथʼफोरनि गोसो बोहोनो थाखाय महरफोरा गुबुन गुबुन, समायना सावगारि, कभारनि दिजाइनाबो मोजां, जोबोद समायनामार!!",Positive,bd
171,"ଶୟନାଗାରଗୁଡ଼ିକ ଅତି ସଂକୀର୍ଣ୍ଣ; ସେମାନେ ସକାଳ 10 ଟା ପରେ ଏସି ବନ୍ଦ କରନ୍ତି ଏବଂ ପୁନର୍ବାର ଏହାକୁ କେବଳ ରାତି 8 ଟାରେ ଅନ୍ କରନ୍ତି, ଅର୍ଥାତ୍ ସେହି ଘଣ୍ଟା ବାହାରେ ଆପଣଙ୍କୁ ଉତ୍ତାପର ଶିକାର ହେବାକୁ ପଡିବ (ଯଦି ଆପଣ କୋଲକାତାର ଗ୍ରୀଷ୍ମ ପ୍ରବାହରେ ପରିଦର୍ଶନ କରୁଛନ୍ତି) | ଆହୁରି ମଧ୍ୟ, ପ୍ରଦାନ କରାଯାଇଥିବା ଜଳଖିଆ ଯଥେଷ୍ଟ ଏବଂ ସନ୍ତୋଷଜନକ ନୁହେଁ |",Negative,or
172,"बहुत छोटा है, एयर कूलर की हाइट बस 2 फुट है। ठंडी हवा 4 फुट तक भी नहीं पहुंचेगी, जैसे जब आप खड़े होते हैं तो यह सिर्फ आपके पैरों तक आती है, बस इतना ही।",Negative,hi
173,ਹੈਮਰ ਸਾਊਂਡਬਾਰ ਦੇ ਬਿਲਟ-ਇਨ ਕੰਟਰੋਲ ਇੰਨੇ ਕੁਸ਼ਲ ਨਹੀਂ ਹਨ। ਇਹ ਵੱਖ-ਵੱਖ ਮੋਡਾਂ ਵਿਚਕਾਰ ਸਵਿਚ ਨਹੀਂ ਕਰ ਸਕਦਾ ਹੈ ਅਤੇ ਇਸਨੂੰ ਅਨੁਕੂਲ ਬਣਾਉਣ ਦੀ ਬਜਾਏ ਮਾੜੀ ਆਵਾਜ਼ ਪੈਦਾ ਕਰਦਾ ਹੈ।,Negative,pa
174,ଚର୍ମକୁ ଦିନସାରା ଆର୍ଦ୍ର ରଖେ |,Positive,or
175,یہ منہ میں ہی جراثیم سے لڑتا ہے اور جراثیم کو جسم میں داخل ہونے سے روکتا ہے۔ دانتوں کی سڑن، مسوڑھوں کی بیماری اور سانس کی بدبو کو روکتا ہے۔,Positive,ur
176,سی جی کے سیلنگ فین کی لمبائی 1000 ملی میٹر کے بلیڈ کی ہے، اس لیے سویپ سائز کم ہے۔ یہ بڑے علاقوں جیسے ہال وغیرہ کے لیے ناکافی ہے۔,Negative,ur
177,क्या मैजिकल रिफ्रेशिंग पीस है। सीजीआई और स्पेशल इफेक्ट्स के माध्यम से इस तरह के सुंदर दृश्य और वातावरण।,Positive,hi
178,पुरुषांसाठीच्या या परफ्युममध्ये तुम्हाला पाण्यातील कमळाचा आणि सेडार लाकडाचा गोड सुगंध अनुभवता येईल. तो खूप काळ टिकणारासुद्धा आहे.,Positive,mr
179,यह एक एल्यूमीनियम कॉइल के साथ आता है जो अन्य मटेरियल की तुलना में कम कुशल है।,Negative,hi
180,वे हमेशा लंबी ड्राइव के लिए इस्तेमाल नहीं हो सकती हैं। होंडा शाइन मॉडल को केवल डेली कम्यूट के लिए अच्छा माना जाता था। लेकिन इसमें चेन स्प्रोकेट के उतरने की समस्या थी। इसके अलावा हाई मेंटेनेंस कॉस्ट भी एक मुद्दा था।,Negative,hi
181,यामुळे पोटाचा भयंकर संसर्ग आणि फूड पॉयझनिंग होते. कुत्र्यांच्या सर्व प्रकारच्या जातींसाठी योग्य नाही.,Negative,mr
182,"ଏହି ଏସିର ଅଟୋ-କ୍ଲିନିଙ୍ଗ କ୍ଷମତା ହେଉଛି ଏକ ନୂତନ ବୈଶିଷ୍ଟ୍ୟ ଯାହା ଖୁବ ନିକଟରେ ଯୋଗ କରାଯାଇଛି | ଏହା ସ୍ୱୟଂଚାଳିତ ଭାବରେ ଫ୍ରୋଷ୍ଟିଙ୍ଗ୍, ଡିଫ୍ରୋଷ୍ଟିଙ୍ଗ୍ କରେ, ମଇଳା ସଫା କରିବା ଏବଂ ଜୀବାଣୁ ସଫା କରିବା ମଧ୍ୟ କରିଥାଏ |",Positive,or
183,"সোনোডাইনের টাওয়ার স্পিকারে একটি ইনবিল্ট উফার রয়েছে এবং তাই বাহ্যিকভাবে আরেকটি যোগ করার কোনও বিকল্প নেই। বাইরের পার্টির জন্য, শব্দ বিচ্ছুরণের কারণে বেস যথেষ্ট নয় বলে মনে হয়।",Negative,bn
184,"একটি বড় ট্যাঙ্ক আছে কিন্তু মোটর মাত্র 1 এইচপি। যদিও এটি আকারে একটি বড় এলাকা কভার করার মত দেখাচ্ছে, মোটরটি সীমা অতিক্রমের অনুমতি দেবে না।",Negative,bn
185,"""سیاہی شروع میں دھندلی نظر آتی ہے اور چند دنوں کے استعمال کے بعد ہی سیاہ ہو جاتی ہے؛ سیاہی کا بہاؤ مستقل نہیں ہوتا، اس لیے لکھنے سے پہلے چند بار لکھنا پڑتا ہے۔ سیاہی کبھی کبھی تھوڑی ہلکی ہوتی ہے اس لیے بہت زیادہ دباؤ ڈالنے کی ضرورت ہوتی ہے۔ """,Negative,ur
186,"আৰু উশাহৰ দুৰ্গন্ধ নাই, ব্যৱহাৰ কৰিবলৈ সহজ আৰু প্লেক হ'বলৈ নিদিয়ে।",Positive,as
187,"இந்த ரோல்-ஆனின் புதிய யூசர் என்ற முறையில் இதன் தரம் மற்றும் புத்துணர்ச்சியை கண்டு வியக்கிறேன். இப்போது மார்க்கெட்டில் இருக்கும் தயாரிப்புகளில் இதில் ஆல்கஹால் மட்டுமல்ல, பாராபென் மற்றும் சல்பேட் கூட இல்லை. இந்த புராடக்டை முழுமையாக எஞ்ஜாய் செய்கிறேன்.",Positive,ta
188,"ഓട്ടോ ഓപ്പറേഷൻ മോഡ് എന്നും അറിയപ്പെടുന്ന ക്രോമ എസിയുടെ AI മോഡ്, മുറിയിലെ താപനിലയെ ആശ്രയിച്ച് ഫാൻ വേഗതയും താപനിലയും സ്വയമേവ സജ്ജീകരിക്കുന്നു. ഇത് നിർമ്മിത ബുദ്ധിയിൽ പ്രവർത്തിക്കുന്നതിനാൽ ഫലങ്ങൾ അത്ര സുഖകരമല്ല.",Negative,ml
189,"সমস্যাযুক্ত, এই ফিল্মটি দেখায় যে একজন পুরুষ একজন মহিলার প্রতি যতই ভয়ঙ্কর আচরণ করুক না কেন, সে তারপরেও তার প্রেমে পড়বে।",Negative,bn
190,"3800mAh, फ्लासखौ बाहायबाय थाब्लाबो गोबाव जोरो।",Positive,bd
191,আমি হাঁটার সময় বা আমার প্রতিদিনের যাতায়াতের সময় ডুয়েট নারেশন গল্প শুনতে সত্যিই উপভোগ করি কারণ ভয়েসের পরিবর্তন সত্যিই আমাকে এটি শুনতে বাধ্য করে। আমরা অডিবলের ডুয়েট ন্যারেশান সেকশনে গল্পটা আরো বেশি অনুভব করতে পারি।,Positive,bn
192,ಸಂಪ್ರದಾಯವಾದಿಗಳಿಗೆ ಕುತ್ತಿಗೆ ತುಂಬಾ ತೆಳುವಾಗಿರುತ್ತದೆ,Negative,kn
193,దాని యొక్క ప్రతి బిట్ అద్భుతమైన చిన్ననాటి జ్ఞాపకాలతో మిమ్మల్ని తాకుతుంది. విల్లీ వోంకాగా జానీ డెప్ పర్ఫెక్ట్‌గా నటించాడు.,Positive,te
194,"मिक्सर, टीव्ही, पंखे इ. सारख्या छोट्या डिव्हायसेसकरता हा  इन्व्हर्टर एकदम प्रभावी आहे. भारतीय ब्रँड म्हणून हे दुर्मिळ आणि चांगले आहे.",Positive,mr
195,ପାର୍ବତ୍ୟ ବାଇକ ଚାଳକଙ୍କ ପାଇଁ ମାଉଣ୍ଟେନ୍ ବାଇକରମାନଙ୍କ ଦ୍ୱାରା ପରିକଳ୍ପିତ ଏବଂ ନିର୍ମିତ | ସାରା ଜୀବନ ଫ୍ରେମ୍ ୱାରେଣ୍ଟି |,Positive,or
196,आयुर्वेदिक कम और केमिकल ज़्यादा हैं। यह जहरीले केमिकल से भरपूर है।,Negative,hi
197,ప్లాట్‌ఫారాలు మరియు కోచ్‌లు ఎల్లప్పుడూ శుభ్రంగా ఉంటాయి,Positive,te
198,ಬಹಳ ಒಳ್ಳೆಯ ಚಟುವಟಿಕೆ ಆಧಾರಿತ ಪುಸ್ತಕವರ್ಣರಂಜಿತ ಮತ್ತು ಆಕರ್ಷಕ ಚಿತ್ರಗಳು ಮತ್ತು ಬರವಣಿಗೆಯ ಚಟುವಟಿಕೆಗಳೊಂದಿಗೆ ನಿಮ್ಮ ಮಗುವಿನ ಪೂರ್ವ ಬರವಣಿಗೆಯ ಕೌಶಲ್ಯಗಳನ್ನು ಬಲಪಡಿಸಲು ನಿಮಗೆ ಅಗತ್ಯವಿರುವ ಎಲ್ಲವನ್ನೂ ಇದು ಹೊಂದಿದೆ,Positive,kn
199,प्लेक और टैटार वाले दांतों को अदृश्य रूप से साफ करने और सांसों को तरोताजा करने का काम करता है।,Positive,hi
200,ಬಿಸ್ಕೆಟ್ ಸಂಪೂರ್ಣವಾಗಿ ಅಟ್ಟಾದಿಂದ ಮಾಡಲ್ಪಟ್ಟಿದೆ. ಅವರು ಜೀರ್ಣಕ್ರಿಯೆಯನ್ನು ಸರಾಗಗೊಳಿಸುತ್ತಾರೆ ಮತ್ತು ಬೆಳಗಿನ ಉಪಾಹಾರಕ್ಕೆ ಸೇರಿಸಿದಾಗ ಶಕ್ತಿಯ ಉತ್ತಮ ಮೂಲವಾಗಿದೆ.,Positive,kn
201,લાંબા વિચાર-વિમર્શ પછી આ ખરીદ્યું. સોનોડાઈન હોમ થિયેટર સિસ્ટમ 5.1 ચેનલોના 125 વોટ સ્પીકર સાથે આવે છે. તે સાઉન્ડ અને અલ્ટ્રા બાસને મહત્તમ બુસ્ટ આપે છે.,Positive,gu
202,ಹಳೆಯ ನಾಯಿಗಳಲ್ಲಿ ಬಲವಾದ ಪ್ರತಿರಕ್ಷಣಾ ವ್ಯವಸ್ಥೆಯನ್ನು ಬೆಂಬಲಿಸಲು ಕ್ಲಾಸಿಕ್ ಪೇಟ್ ಊಟವನ್ನು ಉತ್ತಮ-ಗುಣಮಟ್ಟದ ಪ್ರಾಣಿ ಪ್ರೋಟೀನ್ಗಳು ಮತ್ತು ವಿಟಮಿನ್ಗಳು ಮತ್ತು ಖನಿಜಗಳೊಂದಿಗೆ ತಯಾರಿಸಲಾಗುತ್ತದೆ. ಈ ಸಂಪೂರ್ಣ ಮತ್ತು ಸಮತೋಲಿತ ಆರೋಗ್ಯಕರ ಆರ್ದ್ರ ನಾಯಿ ಆಹಾರವನ್ನು ಒಮೆಗಾ ಕೊಬ್ಬಿನಾಮ್ಲಗಳೊಂದಿಗೆ ಆರೋಗ್ಯಕರ ಚರ್ಮ ಮತ್ತು ವಯಸ್ಸಾದ ನಾಯಿಗಳಲ್ಲಿ ಮೃದುವಾದ ಕೋಟ್ ಅನ್ನು ಉತ್ತೇಜಿಸಲು ರೂಪಿಸಲಾಗಿದೆ.,Positive,kn
203,گارڈر اتنا بڑا ہے کہ جب بھی آپ جاتے ہیں تو آپ دیکھتے ہیں کہ رکھ رکھاؤ کی کچھ سرگرمی چل رہی ہے اور اس سے متعلق علاقوں میں رسائی پر پابندی ہوتی ہے۔ بس پرامن نہیں ہے!,Negative,ur
204,"""આ એરલાઇન્સ માટે ટ્રાવેલ ઇન્શ્યોરન્સ સહેલાઇથી ઉપલબ્ધ નથી.""",Negative,gu
205,इसकी स्मेल अच्छी नहीं है।,Negative,hi
206,ಎಲ್ಲಾ ಸುರಕ್ಷತಾ ಪ್ರೋಟೋಕಾಲ್‌ಗಳನ್ನು ಅತ್ಯಂತ ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಗಮನಿಸಿ,Positive,kn
207,ಅತ್ಯಂತ ದುಬಾರಿ. ನಮಗೆ ಬೇರೆ ಬೇರೆ ಅಂಗಡಿಗಳಲ್ಲಿ ಕಡಿಮೆ ಬೆಲೆಯಲ್ಲಿ ಇದೇ ರೀತಿಯ ಪುಸ್ತಕಗಳು ಸಿಗುತ್ತವೆ.,Negative,kn
208,ঘাম আৰু পানী প্ৰতিৰোধী।,Positive,as
209,உணவு அற்புதமானது மற்றும் மெழுகுவர்த்தி ஒளி இரவு உணவை அற்புதமான இசையுடன் அனுபவிக்க நல்லதாகும்.,Positive,ta
210,পটাছিয়াম চৰ্বেত আৰু বেকিং ছোডাৰ দৰে বিষাক্ত উপাদান থাকে। গোন্ধটো ভাল নহয় আৰু কুকুৰটোৰ বমি হৈছিল,Negative,as
211,"বলীউডৰ পৰা আশা কৰা অনুসৰি, অত্যন্ত নিৰাশাজনক দৃশ্য। VFX-ৰ কাম মই আশা কৰাতকৈ অলপ বেছি নিস্তেজ।",Negative,as
212,മികച്ച ശക്തിയുള്ള ക്ലിപ്പറും ഉപയോഗിക്കാൻ വളരെ എളുപ്പവും. ഇത് എല്ലാ ഉപകരണങ്ങളും സഹിതം വരുന്നു. കത്രികകളും മികച്ചതാണ്.,Positive,ml
213,ACలో ఇంకా వాయిస్ కమాండ్ ఫెసిలిటీ లేదు. వైఫైకి మద్దతు ఇవ్వడానికి ఉత్పత్తి ఇంకా ఎంత దూరం ప్రయాణించాలో నిజంగా ఆశ్చర్యంగా ఉంది.,Negative,te
214,"ಈಗ ಸ್ಪ್ಲಿಟ್ ಎಸಿಯಲ್ಲಿ ಏರ್ ಪ್ಯೂರಿಫೈಯರ್‌ಗಳು ಬರುತ್ತವೆ, ಆದರೆ ಏರ್ ಪ್ಯೂರಿಫೈಯರ್‌ಗಳು ಕಾರ್ಬನ್ ಡೈಆಕ್ಸೈಡ್ ಅನ್ನು ತೆಗೆದುಹಾಕುವುದಿಲ್ಲವಾದ್ದರಿಂದ, ಸಾಂದರ್ಭಿಕವಾಗಿ ಕಿಟಕಿಗಳನ್ನು ತೆರೆಯುವುದು ಹೆಚ್ಚು ಮುಖ್ಯವಾಗಿದೆ. ಬಾಗಿಲು ಮತ್ತು ಕಿಟಕಿಗಳನ್ನು ತೆರೆದಿಟ್ಟುಕೊಳ್ಳುವುದರಿಂದ ಏರ್ ಪ್ಯೂರಿಫೈಯರ್‌ನ ಪರಿಣಾಮಕಾರಿತ್ವವನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ.",Negative,kn
215,"एक सुंदर देहाती माहौल के साथ एक शांतिपूर्ण कैफे, पौराणिक देवव्रत बिस्वास (कैफे के पूर्व निवासी होने के नाते) के गहरे और भावपूर्ण शैली के रवींद्र संगीत के साथ पूरा जस्टिफाय करते हैं। भोजन स्वादिष्ट और काफी वैरायटी में उपलब्ध है, जिसमें बेवरेज काफी सराहनीय और नाश्ते के लिए अच्छे विकल्प हैं।",Positive,hi
216,"షోలు, పాడ్‌కాస్ట్‌లు లేదా ఏదైనా లభ్యమయ్యే ప్రియమైనవాటి డౌన్‌లోడ్ చేసుకోవడానికి ఇంటర్నెట్ స్పీడ్‌తో సంబంధం లేకుండా ఎంతో సమయం పడుతుంది. ఇది పూర్తిగా నిరుత్సాహపరిచే మరియు చికాకు కలిగించే యాప్.",Negative,te
217,இன்னர் டிஃப்யூசர் இல்லாததால் டிஃப்யூசர் பாதி கவர் செய்யப்பட்டிருக்கிறது/யூனிஃபார்மாக இல்லை.,Negative,ta
218,ଏସି ତମ୍ବା କଏଲ ସହିତ ସଜ୍ଜିତ ହୋଇଛି ଯାହା ଆଲୁମିନିୟମ ଅପେକ୍ଷା ଅଧିକ ଦକ୍ଷ |,Positive,or
219,ഉഷയുടെ വിൻഡോ എയർ കൂളറിന്റെ രൂപകൽപ്പന മിനുസമാർന്ന അരികുകളും ആകർഷകമായ നിറങ്ങളും കൊണ്ട് മനോഹരമാണ്. ഇത് ഏത് ഇന്റീരിയർ നിറവുമായി പൊരുത്തപ്പെടുന്നു.,Positive,ml
220,বর্তমানে দাম অনেক কম,Positive,bn
221,"ভিডিঅ' কলিং ব্যৱহাৰ কৰিবলৈ, তেওঁলোকে আপোনাক তেওঁলোকৰ মেচেঞ্জাৰ ইনষ্টল কৰিবলৈ ক'ব। গতিকে মূলতঃ এটা সামাজিক মাধ্যমৰ বাবে, আপোনাক 2 টা পৃথক এপ্পৰ প্ৰয়োজন, সেয়া বিৰক্তিকৰ নহয় নে?",Negative,as
222,دوستوں کو تلاش کرنا اور ان کے ساتھ بات چیت کرنا آسان ہو گیا ہے۔ آپ کو صرف صحیح نام کی ضرورت ہے اور آپ انہیں آسانی سے تلاش کر سکتے ہیں، ان کے ساتھ جڑ سکتے ہیں، وہ کیا کر رہے ہیں اس کی پیروی کر سکتے ہیں اور ان کے ساتھ چیٹ کر سکتے ہیں۔ پرانی یادیں!,Positive,ur
223,"വായനക്കാരന്റെ ഭീകരമായ അഭിനയ ശേഷികൾ. വായനയിൽ ഒട്ടും വികാരമില്ല, ഭയങ്കരമായ വിരസത, കഥയെ ശരിക്കും നശിപ്പിച്ചു.",Negative,ml
224,"পাৰ্কিংৰ সুবিধা সম্পৰ্কে কিছু সমস্যা আছে কিয়নো হোটেলখন মূল পথত অৱস্থিত আৰু তেওঁলোকৰ নিজা কোনো পাৰ্কিঙৰ স্থান নাই। লগতে, কেতিয়াবা বিলিং ভুল হয় আৰু মেনুত থকা মূল্য আৰু বিলত উল্লেখ কৰা মূল্যবোৰ নিমিলে।",Negative,as
225,ক্ৰোমাই এতিয়াও পৰম্পৰাগত এলুমিনিয়াম কইলৰ সৈতে AC উৎপাদন কৰি আছে। এইবোৰৰ অৱক্ষয় হোৱাৰ সম্ভাৱনা অধিক আৰু কম শক্তি ৰাহিকাৰী।,Negative,as
226,"बेयाव गासैबो रोखोमनि पुष्टि दं, जोबोद गोथाव आरो गोरलैयैनो दोगोनबो जायो। बेयो होबाथागोहोखौ गोख्रों खालामो। बेयो नांगौ रोखोम भिटामिन, मिनारेल आरो एन्टिअक्सिदेन्टजों आबुं जाय सैमानि सावस्रि आरो जिउखौ गोख्रों खालामो।",Positive,bd
227,49ಮಿ. ಮೀ ಥ್ರೆಡ್ ಗಾತ್ರ ಮತ್ತು ಹೊಸ ಯುಎಕ್ಸ್ ಯುವಿ ಫಿಲ್ಟರ್ ಜೊತೆಗೆ ಬರುತ್ತದೆ.,Positive,kn
228,"इसमें पूरी तरह से मैनुअल कंट्रोल है और आपको एक्सपोजर थ्योरी सीखनी पड़ती है, जिसे सीखना कोई पसंद नहीं करता।",Negative,hi
229,প্রত্যেক মহারাষ্ট্রিয়ানরা মেনে নেবে যে এই মুভিতে টুইস্ট ইতিহাস দেখানো হয়েছে। খুব বেশি ঐতিহাসিক বর্ণনা।,Negative,bn
230,"ஸ்னாக்ஸுக்கும், சினிமா பார்க்கவும் அழகான இடம். பழங்காலப் பேரரசுகளின் கட்டிடக்கலையின் தாக்கத்தை தருகிறது.",Positive,ta
231,કોઈપણ ઘર્ષણ વિના તમામ વધારાના છૂટા વાળને બહાર કાઢે છે.,Positive,gu
232,"సాధారణ ఫైబర్‌తో తయారు చేయబడుతుంది, ఎక్కువ కాలం మన్నికగా ఉండదు, ప్రొఫెషనల్ ఉపయోగం కొరకు కాకుండా ప్రారంభీకుల కొరకు మాత్రమే సిఫారసు చేయబడుతుంది.",Negative,te
233,సాధారణ బాల్కనీ నుండి మరియు చాలా గదుల నుండి మౌంట్ కాంచన్ జుంగా మరియు మిరిక్ సరస్సు గొప్ప వీక్షణతో మంచి ప్రదేశంలో ఒక మంచి హోమ్ స్టే. ఆహారం కూడా సరసమైన రేటులో బాగుంటుంది.,Positive,te
234,"4 બ્લેડ વેરિઅન્ટ એ એક નવી વિશેષતા છે. તે ખૂબ જ સારી સુવિધા છે, ખાસ કરીને લાઉન્જ અને હોલ જેવા મોટા વિસ્તારો માટે.",Positive,gu
235,ସର୍ବୋତ୍ତମ କଥା ହେଉଛି ଏହି ଆପ୍ ଅଫଲାଇନ୍ ଶୁଣିବା ଅନୁମତି ଦିଏ: ବହି ଡାଉନଲୋଡ୍ କରନ୍ତୁ ଏବଂ ଅଫଲାଇନରେ ଆପ୍ ମାଧ୍ୟମରେ ଶୁଣନ୍ତୁ |,Positive,or
236,"ಗೋದ್ರೇಜ್ ಇನ್ವರ್ಟರ್ ಎಸಿ ಕನ್ವರ್ಟಿಬಲ್ 6 ಇನ್ 1 ಕೂಲಿಂಗ್‌ನೊಂದಿಗೆ ಬರುತ್ತದೆ, ಇದು ಎಐ-ನಿಯಂತ್ರಿತವಾಗಿದೆ. ಕೂಲಿಂಗ್ ಸಾಮರ್ಥ್ಯವು ಸಾಕಷ್ಟು ಉತ್ತಮವಾಗಿದ್ದರೂ, ಎಐ ಇಂಟರ್ಫೇಸ್ ವಿಳಂಬವಾಗುತ್ತದೆ ಮತ್ತು ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ಕೆಟ್ಟದಾಗಿ ಮಾಡುತ್ತದೆ.",Negative,kn
237,"ప్రతి తల్లి-కొడుకు ద్వయం ఈలా మరియు వివాన్ పాత్రలను సులభంగా స్వంతం చేసుకోగలరు. కాజోల్, రిద్ధిసేన్ పాత్రలకు న్యాయం చేశారు.",Positive,te
238,स्पॉटीफायवरच्या गोष्टींमध्ये पात्रांच्या वर्तनातील बदल सहजपणे होत नाही. निवेदन प्रवाही होण्यासाठी पात्रांच्या अभिनय कौशल्यावर खरेच काम करण्याची गरज आहे.,Negative,mr
